Age	Employed	HasESI	NetWorth	TotalIncome	ObWeight
25	1	1	-134712.1571	3500	21416.17023
25	1	1	-134604.9875	3500	21346.37446
25	1	1	-134712.1571	3500	21295.46051
25	1	1	-134712.1571	3500	21195.10736
25	1	1	-134604.9875	3500	21287.40125
25	1	0	-24700	6000	21404.52523
25	1	0	-24600	6000	21493.01221
25	1	0	-21700	6000	21451.97944
25	1	0	-23600	6000	21517.92384
25	1	0	-23600	6000	21445.22446
25	1	0	3000	6700	21546.5736
25	1	0	3100	6700	21472.75398
25	1	0	3100	7700	21426.52362
25	1	1	4780.834788	8000	16191.79482
25	1	1	4780.834788	8000	16279.81317
25	1	1	4684.38217	8000	16256.70594
25	1	1	4791.551746	8000	16185.20331
25	1	1	4780.834788	8000	16360.17893
25	1	0	3000	9300	21435.01739
25	1	0	2357.870673	10000	41744.70063
25	1	0	0	10000	21322.9356
25	1	0	17800	10000	21015.36385
25	1	0	2470.150229	10000	41766.53337
25	1	0	2470.150229	10000	41754.83504
25	1	0	12100	10000	21054.75352
25	1	0	12800	10000	21014.06295
25	1	0	2470.150229	10000	41991.61248
25	1	0	2470.150229	10000	41992.45472
25	1	0	0	10000	21312.84429
25	1	0	31500	10000	21061.5214
25	1	0	12700	10000	21045.40983
25	1	0	3100	10000	21483.81205
25	1	0	0	10000	21331.35528
25	1	0	0	10000	21320.07202
25	1	0	0	10000	21345.3996
25	0	0	11521.80112	11000	14254.3924
25	0	0	11521.80112	11000	14263.24098
25	0	0	11521.80112	11000	14235.99245
25	0	0	11521.80112	11000	14219.96716
25	0	0	11521.80112	11000	14272.0318
25	1	0	741.0450686	11000	34003.86585
25	1	0	4042.06401	11000	35657.52929
25	1	0	4042.06401	12000	35684.76936
25	1	0	9440	13000	18295.44423
25	1	0	4042.06401	13000	35602.59407
25	1	0	0	13000	34653.81604
25	1	0	-15443.13591	14000	18481.41445
25	1	0	0	14000	34845.78216
25	1	0	55660	14000	32804.9328
25	1	0	-15593.17332	14000	18522.30091
25	1	0	-15443.13591	14000	18520.8137
25	1	0	-16000.41771	14000	18547.35617
25	1	0	0	14000	34634.24695
25	1	0	29660	14000	32743.36798
25	1	0	3420	14000	18287.32507
25	1	0	0	14000	34688.0451
