Description	Varname	2007	2008	2009	2010	2011	2012	2013
Panel num	PANEL	PANEL	PANEL	PANEL	PANEL	PANEL	PANEL	PANEL
Person ID	PID	PID	PID	PID	PID	PID	PID	PID
Household ID	DUID	DUID	DUID	DUID	DUID	DUID	DUID	DUID
Person-HH ID	DUPERSID	DUPERSID	DUPERSID	DUPERSID	DUPERSID	DUPERSID	DUPERSID	DUPERSID
Family ID	FAMIDYR	FAMIDYR	FAMIDYR	FAMIDYR	FAMIDYR	FAMIDYR	FAMIDYR	FAMIDYR
Reference person 1	refper1	REFPRS31	REFPRS31	REFPRS31	REFPRS31	REFPRS31	REFPRS31	REFPRS31
Reference person 2	refper2	REFPRS42	REFPRS42	REFPRS42	REFPRS42	REFPRS42	REFPRS42	REFPRS42
Reference person 3	refper3	REFPRS53	REFPRS53	REFPRS53	REFPRS53	REFPRS53	REFPRS53	REFPRS53
Relation to ref person 1	reltype1	RFREL31X	RFREL31X	RFREL31X	RFREL31X	RFREL31X	RFREL31X	REFRL31X
Relation to ref person 2	reltype2	RFREL42X	RFREL42X	RFREL42X	RFREL42X	RFREL42X	RFREL42X	REFRL42X
Relation to ref person 3	reltype3	RFREL53X	RFREL53X	RFREL53X	RFREL53X	RFREL53X	RFREL53X	REFRL53X
HH size 1	HHsize1	RUSIZE31	RUSIZE31	RUSIZE31	RUSIZE31	RUSIZE31	RUSIZE31	RUSIZE31
HH size 2	HHsize2	RUSIZE42	RUSIZE42	RUSIZE42	RUSIZE42	RUSIZE42	RUSIZE42	RUSIZE42
HH size 3	HHsize3	RUSIZE53	RUSIZE53	RUSIZE53	RUSIZE53	RUSIZE53	RUSIZE53	RUSIZE53
HH type 1	HHlet1	RULETR31	RULETR31	RULETR31	RULETR31	RULETR31	RULETR31	RULETR31
HH type 2	HHlet2	RULETR42	RULETR42	RULETR42	RULETR42	RULETR42	RULETR42	RULETR42
HH type 3	HHlet3	RULETR53	RULETR53	RULETR53	RULETR53	RULETR53	RULETR53	RULETR53
Age 1	age1	AGE31X	AGE31X	AGE31X	AGE31X	AGE31X	AGE31X	AGE31X
Age 2	age2	AGE42X	AGE42X	AGE42X	AGE42X	AGE42X	AGE42X	AGE42X
Age 3	age3	AGE53X	AGE53X	AGE53X	AGE53X	AGE53X	AGE53X	AGE53X
Sex	sex	SEX	SEX	SEX	SEX	SEX	SEX	SEX
Race	race	RACEX	RACEX	RACEX	RACEX	RACEX	RACEV1X	RACEV1X
Ethnicity	ethnicity	RACETHNX	RACETHNX	RACETHNX	RACETHNX	RACETHNX	RACETHX	RACETHX
Marital status 1	marry1	MARRY31X	MARRY31X	MARRY31X	MARRY31X	MARRY31X	MARRY31X	MARRY31X
Marital status 2	marry2	MARRY42X	MARRY42X	MARRY42X	MARRY42X	MARRY42X	MARRY42X	MARRY42X
Marital status 3	marry3	MARRY53X	MARRY53X	MARRY53X	MARRY53X	MARRY53X	MARRY53X	MARRY53X
Spouse ID 1	spouseID1	SPOUID31	SPOUID31	SPOUID31	SPOUID31	SPOUID31	SPOUID31	SPOUID31
Spouse ID 2	spouseID2	SPOUID42	SPOUID42	SPOUID42	SPOUID42	SPOUID42	SPOUID42	SPOUID42
Spouse ID 3	spouseID3	SPOUID53	SPOUID53	SPOUID53	SPOUID53	SPOUID53	SPOUID53	SPOUID53
Education level	educ	HIDEG	HIDEG	HIDEG	HIDEG	HIDEG	HIDEG	EDUYRDG
Subj health 1	health1	RTHLTH31	RTHLTH31	RTHLTH31	RTHLTH31	RTHLTH31	RTHLTH31	RTHLTH31
Subj health 2	health2	RTHLTH42	RTHLTH42	RTHLTH42	RTHLTH42	RTHLTH42	RTHLTH42	RTHLTH42
Subj health 3	health3	RTHLTH53	RTHLTH53	RTHLTH53	RTHLTH53	RTHLTH53	RTHLTH53	RTHLTH53
Employment 1	employ1	EMPST31	EMPST31	EMPST31	EMPST31	EMPST31	EMPST31	EMPST31
Employment 2	employ2	EMPST42	EMPST42	EMPST42	EMPST42	EMPST42	EMPST42	EMPST42
Employment 3	employ3	EMPST53	EMPST53	EMPST53	EMPST53	EMPST53	EMPST53	EMPST53
Hourly wage 1	wage1	HRWG31X	HRWG31X	HRWG31X	HRWG31X	HRWG31X	HRWG31X	HRWG31X
Hourly wage 2	wage2	HRWG42X	HRWG42X	HRWG42X	HRWG42X	HRWG42X	HRWG42X	HRWG42X
Hourly wage 3	wage3	HRWG53X	HRWG53X	HRWG53X	HRWG53X	HRWG53X	HRWG53X	HRWG53X
Hours worked 1	hours1	HOUR31	HOUR31	HOUR31	HOUR31	HOUR31	HOUR31	HOUR31
Hours worked 2	hours2	HOUR42	HOUR42	HOUR42	HOUR42	HOUR42	HOUR42	HOUR42
Hours worked 3	hours3	HOUR53	HOUR53	HOUR53	HOUR53	HOUR53	HOUR53	HOUR53
